rvtr,artist,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,graphTrackId,hasPrimaryVersion,repairSkipReason,skipGroup,skipGroupDetail,peakHot100
RVTR860216,The Weeknd,vdj,Die For It Feat Nas,die for it feat nas,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR813339,garth brooks,vdj,Dive Bar Feat Blake Shelton,dive bar feat blake shelton,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR572761,Usher Feat. Pitbull,vdj,Dj Got Us Fallin' In Love Feat Pitbull,dj got us fallin' in love feat pitbull,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR608106,usher,vdj,Dj Got Us Fallin' In Love Feat Pitbull,dj got us fallin' in love feat pitbull,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR326080,Wretch 32,vdj,Don'T Go Radio Edit Feat Josh Kumra,don't go radio edit feat josh kumra,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR936853,The Chainsmokers,vdj,Don'T Let Me Down Feat Daya,don't let me down feat daya,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR131022,pitbull,vdj,Don'T Stop The Party Feat Tjr,don't stop the party feat tjr,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR150935,jeremih,vdj,Don'T Tell 'Em Feat Yg,don't tell 'em feat yg,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR418102,charlie puth,vdj,Done For Me Feat Kehlani,done for me feat kehlani,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR213016,jeremih,vdj,Down On Me Feat 50 Cent,down on me feat 50 cent,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR422163,drake,vdj,Drake Fancy Feat T I Swizz Beatz,drake fancy feat t i swizz beatz,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR692535,fleetwood mac,vdj,Dreams Cover Feat Elise Trouw,dreams cover feat elise trouw,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR535399,puddle of mudd,vdj,Dri Feat And Die,dri feat and die,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR549044,Uncle Kracker F. Dobie Gray,vdj,Dri Feat Away,dri feat away,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR449032,uncle kracker,vdj,Dri Feat Away,dri feat away,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR046018,dobie gray,vdj,Dri Feat Away,dri feat away,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
