rvtr,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,artist,peakHot100,fileArtist,fileTitle,titleScore,combinedScore,filePath
RVTR180272,vdj,Im Gonna Be Alright Feat Nas,im gonna be alright feat nas,,jennifer lopez,,,,,,
RVTR114497,vdj,Intentions Feat Quavo,intentions feat quavo,,justin bieber,,,,,,
RVTR668588,vdj,It'S My Party Feat Amy Winehouse,it's my party feat amy winehouse,,quincy jones,,,,,,
RVTR904286,vdj,Jesu Joy Of Man'S Desiring Feat Uring Lili Haydn,jesu joy of man's desiring feat uring lili haydn,,josh groban,,,,,,
RVTR734550,vdj,Jesus Done Le Feat Chicago,jesus done le feat chicago,,zz top,,,,,,
RVTR876847,vdj,Jungle Gym Feat G Love,jungle gym feat g love,,jack johnson,,,,,,
RVTR308930,vdj,Just Give Me A Reason Feat Nate Ruess,just give me a reason feat nate ruess,,Pink,,,,,,
RVTR525327,vdj,Kernkra Feat 400,kernkra feat 400,,zombie nation,,,,,,
RVTR198862,vdj,Killing Me So Feat Ly,killing me so feat ly,,fugees,,,,,,
RVTR829278,vdj,Killing Me So Feat Ly,killing me so feat ly,,roberta flack,,,,,,
RVTR489393,vdj,Killing Me So Feat Ly Original,killing me so feat ly original,,roberta flack,,,,,,
RVTR538235,vdj,Killing Me So Feat Ly With His Song,killing me so feat ly with his song,,fugees,,,,,,
RVTR428092,vdj,Killing Me So Feat Ly With His Song,killing me so feat ly with his song,,roberta flack,,,,,,
RVTR070143,vdj,Kings Dead Feat Kendrick Lamar Future,kings dead feat kendrick lamar future,,Jay Rock,,,,,,
RVTR865966,vdj,Kiss Feat Art Of Noise,kiss feat art of noise,,tom jones,,,,,,
RVTR467417,vdj,Knee Deep Feat Jimmy Buffett,knee deep feat jimmy buffett,,zac brown band,,,,,,
RVTR791367,vdj,Kool In The Ka Feat An,kool in the ka feat an,,B.A. Robertson,,,,,,
RVTR798949,vdj,La La La Feat Sam Smith,la la la feat sam smith,,naughty boy,,,,,,
RVTR065661,vdj,La La Land Feat Yg,la la land feat yg,,bryce vine,,,,,,
RVTR341214,vdj,Latch Feat Sam Smith,latch feat sam smith,,disclosure,,,,,,
RVTR300966,vdj,Latch Feat Uring Sam Smith,latch feat uring sam smith,,disclosure,,,,,,
RVTR700437,vdj,Le Feat Behind,le feat behind,,Slipknot,,,,,,
RVTR592994,vdj,Le Feat Hand Free,le feat hand free,,alt-j,,,,,,
RVTR630024,vdj,Le Feat Home Album Version,le feat home album version,,Sarah Jarosz,,,,,,
RVTR021397,vdj,Le Feat My Heart In Tokyo,le feat my heart in tokyo,,Mini Viva,,,,,,
RVTR312770,vdj,Le Feat My Ht Stage Door Canteen,le feat my ht stage door canteen,,Charlie Spivak v/Garry Stevens,,,,,,
RVTR882775,vdj,Le Feat Outside Alone,le feat outside alone,,anastacia,,,,,,
RVTR035530,vdj,Let Me Love You Feat Justin Bieber,let me love you feat justin bieber,,dj snake,,,,,,
RVTR429666,vdj,Letting Go Dutty Love Feat Uring Nicki Minaj,letting go dutty love feat uring nicki minaj,,sean kingston,,,,,,
RVTR511713,vdj,Li Feat Ed,li feat ed,,Lighthouse Family,,,,,,
RVTR417399,vdj,Li Feat Ed,li feat ed,,Naughty Boy Feat. Emeli Sandé,,,,,,
RVTR219533,vdj,Li Feat Me Up,li feat me up,,Geri Halliwell,,,,,,
RVTR347884,vdj,Li Feat Me Up Mylo Mix,li feat me up mylo mix,,moby,,,,,,
RVTR914159,vdj,Life A Feat Er You,life a feat er you,,daughtry,,,,,,
