rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR460295,Loverboy,Turn Me Loose,13,ready_for_card_assembly,6,5,6,5,6,
RVTR018811,The Who,Behind Blue Eyes,13,ready_for_card_assembly,6,4,6,4,6,
RVTR127900,A Flock Of Seagulls,I Ran,13,ready_for_card_assembly,8,5,8,5,6,
RVTR410638,Kenny Loggins,Footloose,13,ready_for_card_assembly,13,9,13,9,7,
RVTR394943,Lionel Richie,All Night Long,13,ready_for_card_assembly,6,4,6,4,6,
RVTR921168,Lou Reed,Walk On The Wild Side,13,ready_for_card_assembly,13,7,13,7,6,
RVTR639134,LFO,Summer Girls,12,ready_for_card_assembly,15,7,15,7,7,
RVTR129716,Everclear,Am Radio,12,ready_for_card_assembly,12,6,12,6,6,
RVTR601662,Elton John,Rocket Man,12,ready_for_card_assembly,13,7,13,7,7,
RVTR727463,Alannah Myles,Black Velvet,12,ready_for_card_assembly,8,6,8,6,7,
RVTR381553,Joe South,Games People Play,12,ready_for_card_assembly,14,6,14,6,7,
RVTR309611,Chicago,Saturday In The Park,12,ready_for_card_assembly,13,6,13,6,7,
RVTR243163,Jamiroquai,Virtual Insanity,12,ready_for_card_assembly,20,6,20,6,7,
RVTR511394,Redbone,Come And Get Your Love,12,ready_for_card_assembly,13,5,13,5,7,
RVTR480919,George Harrison,My Sweet Lord,12,ready_for_card_assembly,19,7,19,7,7,
RVTR496488,George Harrison,Crackerbox Palace,12,ready_for_card_assembly,20,9,20,9,7,
RVTR492527,Fine Young Cannibals,She Drives Me Crazy,12,ready_for_card_assembly,15,7,15,7,7,
RVTR960733,Brewer And Shipley,One Toke Over The Line,12,ready_for_card_assembly,11,6,11,6,6,
RVTR808142,Andy Kim,Rock Me Gently,11,ready_for_card_assembly,15,5,15,5,6,
RVTR667387,Aretha Franklin,Respect,11,ready_for_card_assembly,16,6,16,6,7,
RVTR895357,Alabama,Dixieland Delight,11,ready_for_card_assembly,18,8,18,8,7,
RVTR804452,Bay City Rollers,Saturday Night,11,ready_for_card_assembly,14,6,14,6,7,
RVTR624060,Beach Boys,Kokomo,10,ready_for_card_assembly,18,6,18,6,4,
