FilePath,Artist,Title,Year,RVTags
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Tremeloes - Silence Is Golden.mp4,The Tremeloes,Silence Is Golden,1967,#BritishInvasion #SlowDance #SingAlong #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Troggs - Love Is All Around.mp4,The Troggs,Love Is All Around,1967,#BritishInvasion #GarageRock #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Turtles - Happy Together.mp4,The Turtles,Happy Together,1967,#CrowdFavorite #SingAlong #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Velvet Underground - Heroin.mp4,The Velvet Underground,Heroin,1967,#Psychedelic #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Velvet Underground - I'm Waiting For The Man.mp4,The Velvet Underground,I'm Waiting For The Man,1967,#Psychedelic #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Velvet Underground - Venus In Furs.mp4,The Velvet Underground,Venus In Furs,1967,#Psychedelic #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Yardbirds - I'm A Man.mp4,The Yardbirds,I'm A Man,1967,#BritishInvasion #GarageRock #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Youngbloods - Get Together.mp4,The Youngbloods,Get Together,1967,#SummerOfLove #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Youngbloods - Get Together .mp4,The Youngbloods,Get Together,1967,#SummerOfLove #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Them - Baby Please Don t Go.mp4,Them,Baby Please Don t Go,1967,#BritishInvasion #GarageRock #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Tommy Boyce & Bobby Hart - I Wonder What She's Doing Tonight.mp4,Tommy Boyce & Bobby Hart,I Wonder What She's Doing Tonight,1967,#CrowdFavorite #DeepCut
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Van Morrison - Brown Eyed Girl.mp4,Van Morrison,Brown Eyed Girl,1967,#CrowdFavorite #SingAlong #PartyStarter #DanceFloor
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Vanilla Fudge - Keep Me Hangin  On.mp4,Vanilla Fudge,Keep Me Hangin  On,1967,#Psychedelic #SlowDance #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Young Rascals - How Can I Be Sure.mp4,Young Rascals,How Can I Be Sure,1967,#Soul #SlowDance #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Lulu - To Sir With Love (BW).mp4,Lulu,To Sir With Love  (BW),1967,#BritishInvasion #CrowdFavorite #SlowDance #SingAlong #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Lulu - To Sir With Love (Color).mp4,Lulu,To Sir With Love  (Color),1967,#BritishInvasion #CrowdFavorite #SlowDance #SingAlong #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Tremeloes - Here Comes My Baby (BW).mp4,The Tremeloes,Here Comes My Baby  (BW),1967,#BritishInvasion #CrowdFavorite #TVFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Tremeloes - Here Comes My Baby (Color).mp4,The Tremeloes,Here Comes My Baby  (Color),1967,#BritishInvasion #CrowdFavorite #TVFavorite
